,user_id,gender,postal_code,temperature,temp_max,temp_min,avg_temp,city
107,304,female,71909,70.47,73.24,66.54,69.89,Hot Springs Village
108,305,female,71909,70.47,73.24,66.54,69.89,Hot Springs Village
109,308,female,85034,90.95,94.01,87.44,90.725,Phoenix
110,310,female,36277,66.07,68.43,63.59,66.01,Weaver
111,311,female,85034,90.95,94.01,87.44,90.725,Phoenix
112,313,female,71909,70.47,73.24,66.54,69.89,Hot Springs Village
113,318,female,85034,90.95,94.01,87.44,90.725,Phoenix
114,322,female,85034,90.95,94.01,87.44,90.725,Phoenix
115,323,female,71909,70.47,73.24,66.54,69.89,Hot Springs Village
116,326,female,30215,64.81,71.24,60.71,65.975,Fayetteville
117,328,female,46561,64.96,68.41,62.78,65.595,Osceola
118,330,female,85034,90.95,94.01,87.44,90.725,Phoenix
119,332,female,46561,64.96,68.41,62.78,65.595,Osceola
120,337,female,85034,90.95,94.01,87.44,90.725,Phoenix
121,339,female,32811,75.04,77.95,72.91,75.43,Orlando
122,340,female,71909,70.47,73.24,66.54,69.89,Hot Springs Village
123,341,female,46561,64.96,68.41,62.78,65.595,Osceola
124,343,female,85034,90.95,94.01,87.44,90.725,Phoenix
125,345,female,46561,64.96,68.41,62.78,65.595,Osceola
126,346,female,46561,64.96,68.41,62.78,65.595,Osceola
127,347,female,71909,70.47,73.24,66.54,69.89,Hot Springs Village
128,353,female,71909,70.47,73.24,66.54,69.89,Hot Springs Village
129,355,female,17512,57.25,61.45,52.34,56.895,Columbia
130,356,female,17512,57.25,61.45,52.34,56.895,Columbia
131,357,female,17512,57.25,61.45,52.34,56.895,Columbia
132,360,female,47001,67.15,71.85,63.18,67.515,Aurora
133,364,female,17512,57.25,61.45,52.34,56.895,Columbia
134,369,female,45327,65.73,70.03,61.79,65.91,Germantown
135,370,female,38587,62.8,66.34,58.35,62.345,Walling
136,372,female,85034,90.95,94.01,87.44,90.725,Phoenix
137,374,female,78109,81.68,83.8,79.41,81.60499999999999,Converse
138,380,female,78109,81.68,83.8,79.41,81.60499999999999,Converse
139,386,female,33313,78.01,80.01,75.06,77.535,Fort Lauderdale
140,390,female,92019,68.94,73.06,64.89,68.975,El Cajon
141,395,female,49508,63.36,65.95,60.24,63.095,Grand Rapids
142,399,female,60458,70.7,74.93,65.21,70.07,Justice
143,400,female,20770,62.11,67.68,57.45,62.565000000000005,Greenbelt
144,401,female,78109,81.68,83.8,79.41,81.60499999999999,Converse
145,403,female,49508,63.36,65.95,60.24,63.095,Grand Rapids
146,409,female,30096,66.63,71.53,61.02,66.275,Duluth
147,410,female,13060,47.93,51.15,44.24,47.695,Elbridge
148,419,female,66104,72.82,75.4,69.4,72.4,Kansas City
149,420,female,21209,60.37,66.11,54.59,60.35,Baltimore
150,424,female,37213,71.4,74.08,64.85,69.465,Nashville
151,429,female,19134,60.17,64.2,53.96,59.08,Philadelphia
152,443,female,49508,63.36,65.95,60.24,63.095,Grand Rapids
153,444,female,27834,70.07,70.23,62.73,66.48,Greenville
154,446,female,63640,67.26,68.13,61.7,64.91499999999999,Farmington
155,447,female,95002,65.5,69.73,60.24,64.985,Alviso
156,449,female,49508,63.36,65.95,60.24,63.095,Grand Rapids
