user_id,gender,postal_code,city,temperature
560,female,61102,Rockford,65.8
561,female,31316,Ludowici,69.53
562,female,95111,San Jose,66.0
564,female,17257,Shippensburg,56.03
568,female,57719,Box Elder,66.13
573,female,57719,Box Elder,66.13
575,female,75024,Plano,76.57
578,female,91789,Walnut,73.2
579,female,92887,Yorba Linda,72.41
584,female,19720,New Castle,57.72
586,female,29506,Florence,67.77
599,female,19720,New Castle,57.72
601,female,45723,Coolville,64.29
602,female,60634,Chicago,71.28
606,female,98002,Auburn,65.61
609,female,21613,Cambridge,62.73
614,female,75211,Dallas,76.93
616,female,91789,Walnut,73.2
619,female,98002,Auburn,65.61
621,female,96819,Honolulu,80.89
622,female,61102,Rockford,65.8
623,female,60634,Chicago,71.28
627,female,91789,Walnut,73.2
629,female,96819,Honolulu,80.89
631,female,19720,New Castle,57.72
635,female,96819,Honolulu,80.89
637,female,75211,Dallas,76.93
639,female,60634,Chicago,71.28
644,female,60634,Chicago,71.28
648,female,18634,Nanticoke,50.68
655,female,75001,Addison,77.11
658,female,27545,Knightdale,67.87
669,female,75001,Addison,77.11
678,female,75001,Addison,77.11
680,female,75001,Addison,77.11
681,female,19720,New Castle,57.72
684,female,55721,Cohasset,64.45
688,female,43081,Westerville,63.59
693,female,31082,Sandersville,65.12
696,female,20165,Sterling,61.9
698,female,27545,Knightdale,67.87
700,female,27545,Knightdale,67.87
702,female,57719,Box Elder,66.13
703,female,27560,Morrisville,67.19
705,female,13060,Elbridge,47.93
708,female,42101,Bowling Green,67.8
711,female,11412,Saint Albans,65.77
725,female,44120,Cleveland,57.78
726,female,52806,Davenport,70.74
728,female,30101,Acworth,67.44
730,female,91789,Walnut,73.2
731,female,52806,Davenport,70.74
738,female,52806,Davenport,70.74
754,female,32256,Jacksonville,77.27
756,female,12035,Central Bridge,50.94
758,female,32256,Jacksonville,77.27
765,female,75225,Dallas,77.16
770,female,75211,Dallas,76.93
774,female,62565,Shelbyville,68.99
775,female,29669,Pelzer,64.76
778,female,28092,Lincolnton,64.78
780,female,32256,Jacksonville,77.27
782,female,32256,Jacksonville,77.27
784,female,32256,Jacksonville,77.27
788,female,77301,Conroe,78.87
791,female,62441,Marshall,66.04
792,female,32256,Jacksonville,77.27
794,female,32256,Jacksonville,77.27
810,female,85648,Rio Rico,71.85
817,female,26003,Wheeling,58.96
818,female,50014,Ames,68.56
819,female,26003,Wheeling,58.96
821,female,26003,Wheeling,58.96
823,female,91360,Thousand Oaks,69.26
824,female,10469,Bronx,62.91
825,female,91360,Thousand Oaks,69.26
835,female,36301,Dothan,72.23
840,female,36301,Dothan,72.23
858,female,26003,Wheeling,58.96
860,female,86406,Lake Havasu City,87.58
863,female,25839,Fairdale,60.3
864,female,32431,Cottondale,71.78
876,female,43610,Toledo,62.56
878,female,50014,Ames,68.56
879,female,29073,Lexington,66.63
880,female,34748,Leesburg,74.19
884,female,29170,West Columbia,67.08
888,female,21224,Baltimore,61.9
889,female,29073,Lexington,66.63
890,female,50014,Ames,68.56
892,female,50014,Ames,68.56
894,female,50014,Ames,68.56
895,female,50014,Ames,68.56
906,female,50014,Ames,68.56
910,female,78660,Pflugerville,82.15
911,female,37664,Kingsport,64.92
912,female,37664,Kingsport,64.92
913,female,29170,West Columbia,67.08
916,female,50014,Ames,68.56
917,female,37664,Kingsport,64.92
918,female,34653,New Port Richey,75.76
920,female,27214,Browns Summit,64.69
924,female,27214,Browns Summit,64.69
928,female,81050,La Junta,64.08
933,female,30324,Atlanta,68.13
935,female,30324,Atlanta,68.13
937,female,92505,Riverside,74.08
938,female,59860,Polson,63.34
939,female,48206,Detroit,62.83
942,female,78227,San Antonio,81.93
946,female,33024,Hollywood,77.49
950,female,92505,Riverside,74.08
956,female,92505,Riverside,74.08
968,female,92505,Riverside,74.08
973,female,83864,Sandpoint,61.52
978,female,83864,Sandpoint,61.52
981,female,92505,Riverside,74.08
982,female,28734,Franklin,61.02
985,female,11201,Brooklyn,65.03
988,female,92505,Riverside,74.08
997,female,77037,Houston,81.07
1003,female,48141,Inkster,62.64
1004,female,77037,Houston,81.07
1006,female,92064,Poway,68.58
1009,female,20903,Silver Spring,62.08
1010,female,60473,South Holland,69.39
1014,female,19601,Reading,56.32
1016,female,14305,Niagara Falls,54.05
1021,female,36301,Dothan,72.23
1022,female,19601,Reading,56.32
1025,female,20903,Silver Spring,62.08
1033,female,92109,San Diego,69.94
1035,female,53094,Watertown,67.32
1041,female,40047,Mount Washington,66.04
1044,female,19601,Reading,56.32
1050,female,44820,Bucyrus,63.25
1054,female,44820,Bucyrus,63.25
1062,female,88101,Clovis,73.54
1064,female,60634,Chicago,71.28
1067,female,77586,Seabrook,80.65
1068,female,14701,Jamestown,53.73
1069,female,92394,Victorville,70.36
1072,female,14701,Jamestown,53.73
1073,female,14701,Jamestown,53.73
1075,female,71438,Hineston,70.92
1076,female,14701,Jamestown,53.73
1079,female,27569,Princeton,68.16
1080,female,19145,Philadelphia,60.19
1081,female,70374,Lockport,76.42
1083,female,13636,Ellisburg,49.66
1084,female,29583,Pamplico,66.4
1087,female,70374,Lockport,76.42
1094,female,70374,Lockport,76.42
1098,female,70374,Lockport,76.42
1105,female,11356,College Point,64.78
1107,female,24201,Bristol,62.11
1108,female,33313,Fort Lauderdale,78.01
1110,female,33313,Fort Lauderdale,78.01
1120,female,60623,Chicago,71.92
1122,female,38701,Greenville,69.8
1125,female,60623,Chicago,71.92
1128,female,60623,Chicago,71.92
1136,female,98199,Seattle,62.02
1139,female,60623,Chicago,71.92
1142,female,29571,Marion,64.96
1144,female,44131,Independence,58.35
1145,female,60623,Chicago,71.92
1147,female,60623,Chicago,71.92
1152,female,60623,Chicago,71.92
1154,female,33578,Riverview,75.78
1158,female,60623,Chicago,71.92
1164,female,29571,Marion,64.96
1167,female,15061,Monaca,57.4
1173,female,15061,Monaca,57.4
1182,female,72834,Dardanelle,72.21
1186,female,85037,Phoenix,90.86
1187,female,85037,Phoenix,90.86
1188,female,85037,Phoenix,90.86
1192,female,10805,New Rochelle,62.69
1193,female,85037,Phoenix,90.86
1196,female,87031,Los Lunas,75.38
1202,female,24701,Bluefield,58.37
1203,female,95367,Riverbank,71.67
1208,female,85205,Mesa,90.19
1209,female,89032,North Las Vegas,86.77
1210,female,98036,Lynnwood,61.47
1220,female,27534,Goldsboro,68.32
1221,female,27534,Goldsboro,68.32
1224,female,33137,Miami,75.47
1226,female,29303,Spartanburg,65.8
1229,female,33137,Miami,75.47
1230,female,97222,Portland,68.58
1236,female,14222,Buffalo,53.62
1237,female,33137,Miami,75.47
1238,female,97222,Portland,68.58
1242,female,33137,Miami,75.47
1243,female,33137,Miami,75.47
1244,female,97222,Portland,68.58
1246,female,33137,Miami,75.47
1249,female,97222,Portland,68.58
1250,female,97222,Portland,68.58
1254,female,32621,Bronson,75.58
1255,female,94043,Mountain View,65.26
1258,female,33137,Miami,75.47
1263,female,94043,Mountain View,65.26
1266,female,95824,Sacramento,72.81
1268,female,77389,Spring,80.2
1271,female,95864,Sacramento,72.73
1278,female,77389,Spring,80.2
1280,female,97754,Prineville,63.9
1286,female,89031,North Las Vegas,87.03
1289,female,89031,North Las Vegas,87.03
1291,female,89031,North Las Vegas,87.03
1294,female,37052,Cunningham,67.44
1296,female,45218,Cincinnati,66.45
1304,female,77029,Houston,81.05
1313,female,77029,Houston,81.05
1315,female,77029,Houston,81.05
1317,female,63366,O Fallon,70.93
1318,female,83864,Sandpoint,61.52
1320,female,32526,Pensacola,75.34
1321,female,32526,Pensacola,75.34
1322,female,71075,Springhill,66.54
1329,female,75501,Texarkana,72.41
1330,female,71075,Springhill,66.54
1331,female,71075,Springhill,66.54
1333,female,96749,Keaau,77.29
1334,female,71075,Springhill,66.54
1336,female,75033,Frisco,77.13
1340,female,75033,Frisco,77.13
1344,female,71075,Springhill,66.54
1351,female,77029,Houston,81.05
1354,female,75501,Texarkana,72.41
1357,female,31093,Warner Robins,67.53
1360,female,36301,Dothan,72.23
1362,female,36301,Dothan,72.23
1363,female,36301,Dothan,72.23
1365,female,36301,Dothan,72.23
1368,female,75501,Texarkana,72.41
1370,female,95841,Sacramento,73.04
1372,female,75501,Texarkana,72.41
1376,female,75501,Texarkana,72.41
1378,female,26280,Mill Creek,57.74
1380,female,75501,Texarkana,72.41
1382,female,75501,Texarkana,72.41
1384,female,26508,Morgantown,60.91
1385,female,98043,Mountlake Terrace,61.09
1386,female,85037,Phoenix,90.86
1389,female,98043,Mountlake Terrace,61.09
1391,female,33446,Delray Beach,76.05
1394,female,98043,Mountlake Terrace,61.09
1395,female,98043,Mountlake Terrace,61.09
1399,female,75501,Texarkana,72.41
1406,female,60110,Carpentersville,67.62
1408,female,26508,Morgantown,60.91
1410,female,60110,Carpentersville,67.62
1417,female,26508,Morgantown,60.91
1419,female,75501,Texarkana,72.41
1420,female,60110,Carpentersville,67.62
1422,female,60110,Carpentersville,67.62
1427,female,60110,Carpentersville,67.62
1430,female,60110,Carpentersville,67.62
1437,female,26508,Morgantown,60.91
1439,female,26508,Morgantown,60.91
1441,female,77029,Houston,81.05
1447,female,96819,Honolulu,80.89
1452,female,90210,Beverly Hills,71.24
1454,female,57104,Sioux Falls,66.97
1456,female,57104,Sioux Falls,66.97
1460,female,57104,Sioux Falls,66.97
1463,female,75702,Tyler,72.99
